City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,zheleznogorsk-ilimskiy,56.5768,104.1217,-28.82,100,69,1.22,RU,1738940005
292,vorgashor,67.5833,63.95,-5.04,94,100,11.5,RU,1738940001
293,tak bai,6.2595,102.0546,23.99,82,69,2.26,TH,1738940008
294,cidreira,-30.1811,-50.2056,27.09,66,0,5.74,BR,1738940009
295,kabala,9.5833,-11.55,36.71,9,17,2.33,SL,1738940010
296,lauro de freitas,-12.8944,-38.3272,28.01,69,75,6.69,BR,1738939870
297,lata,40.1629,-8.3327,16.38,65,55,4.28,PT,1738940013
298,ribeira grande,38.5167,-28.7,15.99,94,75,9.26,PT,1738940014
299,tofol,5.3248,163.0078,27.86,78,94,7.65,FM,1738940015
300,miles city,46.4083,-105.8406,-15.46,85,100,6.17,US,1738940016
301,luwuk,-0.9516,122.7875,23.45,92,100,1.41,ID,1738940017
302,akureyri,65.6835,-18.0878,-0.04,93,100,3.6,IS,1738940018
303,ust'-ilimsk,58.0006,102.6619,-24.83,98,99,1.45,RU,1738940020
304,malango,-2.9627,119.9001,19.33,98,100,1.53,ID,1738940021
305,novodvinsk,64.4165,40.8122,-0.14,85,20,4.63,RU,1738940022
306,fayroz koh,34.5195,65.2509,-7.94,79,2,2.85,AF,1738940023
307,gordonvale,-17.0936,145.7842,25.88,100,100,0.65,AU,1738940024
308,punta arenas,-53.15,-70.9167,11.06,54,40,8.23,CL,1738940025
309,nyala,12.05,24.8833,30.29,9,82,8.14,SD,1738939849
310,labytnangi,66.6572,66.4183,-4.67,88,100,7.93,RU,1738940028
311,tuma,55.148,40.5537,-3.56,68,5,2.09,RU,1738940029
312,misratah,32.3754,15.0925,17.4,53,97,10.26,LY,1738940030
313,baykalovo,57.3981,63.7684,-12.77,98,60,2.71,RU,1738940031
314,kingston,17.997,-76.7936,27.87,69,20,2.57,JM,1738940032
315,lesosibirsk,58.2358,92.4828,-24.28,100,98,0.31,RU,1738940034
316,kavieng,-2.5744,150.7967,28.47,73,9,5.23,PG,1738940036
317,gwadar,25.1216,62.3254,21.89,56,100,3.9,PK,1738940037
318,beni,0.5,29.4667,30.7,24,100,0.46,CD,1738940038
319,coron,11.9986,120.2043,26.29,81,100,4.08,PH,1738940040
320,bohodukhiv,50.1647,35.5276,-3.15,77,12,5.7,UA,1738940041
321,island harbour,50.724,-1.2758,4.04,87,100,3.58,GB,1738940042
322,rawlins,41.7911,-107.2387,4.64,41,40,11.32,US,1738940043
323,buka,40.8108,69.1986,9.19,33,100,1.33,UZ,1738940045
324,lanzhou,36.0564,103.7922,-6.68,73,84,0.53,CN,1738940046
325,conde,-7.2597,-34.9075,29.7,58,75,6.69,BR,1738940047
326,gafsa,34.425,8.7842,9.12,93,75,8.75,TN,1738940048
327,sao gabriel da cachoeira,-0.1303,-67.0892,24.89,100,100,1.54,BR,1738939999
328,sitka,57.0531,-135.33,-1.06,64,0,1.54,US,1738940050
329,whitefish,48.4111,-114.3376,-8.14,62,40,6.69,US,1738940051
330,kerben,40.2951,72.1863,2.62,64,100,1.24,KG,1738940052
331,viedma,-40.8135,-62.9967,31.88,19,0,3.33,AR,1738939979
332,quepos,9.4236,-84.1652,28.38,53,8,1.28,CR,1738940055
333,mbandaka,0.0487,18.2603,32.18,44,100,0.35,CD,1738940056
334,kingscliff,-28.2667,153.5667,20.89,94,49,1.54,AU,1738940057
335,saynshand,44.8824,110.1163,-23.01,87,0,1.98,MN,1738940058
336,quilali,13.567,-86.026,20.19,89,93,1.0,NI,1738940059
337,onati,43.0178,-2.4068,6.82,90,97,3.91,ES,1738940060
338,cannonvale,-20.2833,148.7,24.66,92,100,3.71,AU,1738940063
339,carbonear,47.7332,-53.2148,1.75,93,100,16.63,CA,1738940064
340,sept-iles,50.2001,-66.3821,-4.41,84,100,6.17,CA,1738940066
